unnamed_column,duplicated_0,duplicated_1,duplicated_2,duplicated_3,duplicated_4,duplicated_5,duplicated_6,duplicated_7,duplicated_8,duplicated_9,duplicated_10,duplicated_11,duplicated_12,duplicated_13,duplicated_14,duplicated_15,duplicated_16,duplicated_17,duplicated_18,duplicated_19,duplicated_20,duplicated_21,duplicated_22,duplicated_23,duplicated_24,duplicated_25,duplicated_26
,RO,110008,Costa Marques,107,121.0,14,"13,1%",43,42.0,-1,"-2,3%",7,4.0,-3,"-42,9%",231,212.0,-19,"-8,2%",137,174.0,37,"27,0%",525,553.0,28,"5,3%"
,RO,110009,Espigão D'Oeste,462,493.0,31,"6,7%",1.590,1.674,84,"5,3%",138,178.0,40,"29,0%",1.381,1.336,-45,"-3,3%",1.107,1.162,55,"5,0%",4.678,4.843,165,"3,5%"
,RO,110010,Guajará-Mirim,83,100.0,17,"20,5%",334,303.0,-31,"-9,3%",68,39.0,-29,"-42,6%",1.911,2.043,132,"6,9%",1.345,1.428,83,"6,2%",3.741,3.913,172,"4,6%"
,RO,110011,Jaru,410,430.0,20,"4,9%",3.679,3.86,181,"4,9%",268,365.0,97,"36,2%",3.800,4.024,224,"5,9%",1.858,1.883,25,"1,3%",10.015,10.562,547,"5,5%"
,RO,110012,Ji-Paraná,703,696.0,-7,"-1,0%",5.279,6.088,809,"15,3%",1.120,1.131,11,"1,0%",10.733,11.084,351,"3,3%",11.204,11.714,510,"4,6%",29.039,30.713,1.674,"5,8%"
,RO,110013,Machadinho D'Oeste,310,307.0,-3,"-1,0%",415,470.0,55,"13,3%",81,134.0,53,"65,4%",1.011,1.053,42,"4,2%",877,823.0,-54,"-6,2%",2.694,2.787,93,"3,5%"
,RO,110014,Nova Brasilândia D'Oeste,104,101.0,-3,"-2,9%",252,269.0,17,"6,7%",63,100.0,37,"58,7%",663,669.0,6,"0,9%",394,411.0,17,"4,3%",1.476,1.55,74,"5,0%"
,RO,110015,Ouro Preto do Oeste,283,307.0,24,"8,5%",734,690.0,-44,"-6,0%",251,255.0,4,"1,6%",1.999,2.068,69,"3,5%",1.764,1.765,1,"0,1%",5.031,5.085,54,"1,1%"
,RO,110018,Pimenta Bueno,836,799.0,-37,"-4,4%",2.615,2.8,185,"7,1%",258,304.0,46,"17,8%",3.814,3.927,113,"3,0%",2.103,2.201,98,"4,7%",9.626,10.031,405,"4,2%"
,RO,110020,Porto Velho,1.701,1.718,17,"1,0%",9.840,10.498,658,"6,7%",6.514,4.721,-1.793,"-27,5%",30.010,31.04,1.030,"3,4%",49.013,51.002,1.989,"4,1%",97.078,98.979,1.901,"2,0%"
,RO,110025,Presidente Médici,284,255.0,-29,"-10,2%",575,632.0,57,"9,9%",69,69.0,0,"0,0%",740,719.0,-21,"-2,8%",755,898.0,143,"18,9%",2.423,2.573,150,"6,2%"
,RO,110026,Rio Crespo,443,473.0,30,"6,8%",41,25.0,-16,"-39,0%",23,23.0,0,"0,0%",30,29.0,-1,"-3,3%",38,53.0,15,"39,5%",575,603.0,28,"4,9%"
,RO,110028,Rolim de Moura,415,434.0,19,"4,6%",3.966,3.912,-54,"-1,4%",290,323.0,33,"11,4%",3.759,4.049,290,"7,7%",3.986,4.4,414,"10,4%",12.416,13.118,702,"5,7%"
,RO,110029,Santa Luzia D'Oeste,301,353.0,52,"17,3%",96,96.0,0,"0,0%",14,12.0,-2,"-14,3%",115,106.0,-9,"-7,8%",114,144.0,30,"26,3%",640,711.0,71,"11,1%"
,RO,110030,Vilhena,1.791,1.618,-173,"-9,7%",3.842,3.985,143,"3,7%",1.062,949.0,-113,"-10,6%",8.605,8.856,251,"2,9%",11.024,11.718,694,"6,3%",26.324,27.126,802,"3,0%"
,RO,110032,São Miguel do Guaporé,286,345.0,59,"20,6%",1.099,1.125,26,"2,4%",40,28.0,-12,"-30,0%",903,935.0,32,"3,5%",703,764.0,61,"8,7%",3.031,3.197,166,"5,5%"
,RO,110033,Nova Mamoré,270,285.0,15,"5,6%",91,96.0,5,"5,5%",42,39.0,-3,"-7,1%",498,527.0,29,"5,8%",443,471.0,28,"6,3%",1.344,1.418,74,"5,5%"
,RO,110034,Alvorada D'Oeste,156,147.0,-9,"-5,8%",26,27.0,1,"3,8%",7,8.0,1,"14,3%",362,326.0,-36,"-9,9%",223,274.0,51,"22,9%",774,782.0,8,"1,0%"
,RO,110037,Alto Alegre dos Parecis,164,176.0,12,"7,3%",17,21.0,4,"23,5%",32,34.0,2,"6,3%",287,316.0,29,"10,1%",119,162.0,43,"36,1%",619,709.0,90,"14,5%"
,RO,110040,Alto Paraíso,289,321.0,32,"11,1%",58,75.0,17,"29,3%",27,20.0,-7,"-25,9%",441,388.0,-53,"-12,0%",264,276.0,12,"4,5%",1.079,1.08,1,"0,1%"
,RO,110045,Buritis,235,235.0,0,"0,0%",382,357.0,-25,"-6,5%",76,65.0,-11,"-14,5%",1.504,1.426,-78,"-5,2%",937,1.021,84,"9,0%",3.134,3.104,-30,"-1,0%"
,RO,110050,Novo Horizonte do Oeste,75,61.0,-14,"-18,7%",100,107.0,7,"7,0%",39,51.0,12,"30,8%",247,219.0,-28,"-11,3%",238,247.0,9,"3,8%",699,685.0,-14,"-2,0%"
,RO,110060,Cacaulândia,169,176.0,7,"4,1%",16,16.0,0,"0,0%",1,0.0,-1,"-100,0%",65,60.0,-5,"-7,7%",46,42.0,-4,"-8,7%",297,294.0,-3,"-1,0%"
,RO,110070,Campo Novo de Rondônia,176,191.0,15,"8,5%",0,2.0,2,#DIV/0!,10,4.0,-6,"-60,0%",135,135.0,0,"0,0%",150,173.0,23,"15,3%",471,505.0,34,"7,2%"
,RO,110080,Candeias do Jamari,501,451.0,-50,"-10,0%",353,404.0,51,"14,4%",96,37.0,-59,"-61,5%",630,665.0,35,"5,6%",556,593.0,37,"6,7%",2.136,2.15,14,"0,7%"
,RO,110090,Castanheiras,209,198.0,-11,"-5,3%",2,4.0,2,"100,0%",5,2.0,-3,"-60,0%",23,21.0,-2,"-8,7%",17,15.0,-2,"-11,8%",256,240.0,-16,"-6,3%"
,RO,110092,Chupinguaia,1.129,1.096,-33,"-2,9%",1.158,1.088,-70,"-6,0%",21,20.0,-1,"-4,8%",224,213.0,-11,"-4,9%",168,174.0,6,"3,6%",2.700,2.591,-109,"-4,0%"
,RO,110094,Cujubim,251,268.0,17,"6,8%",291,255.0,-36,"-12,4%",22,35.0,13,"59,1%",388,414.0,26,"6,7%",349,387.0,38,"10,9%",1.301,1.359,58,"4,5%"
,RO,110100,Governador Jorge Teixeira,77,83.0,6,"7,8%",1,1.0,0,"0,0%",6,3.0,-3,"-50,0%",74,80.0,6,"8,1%",261,274.0,13,"5,0%",419,441.0,22,"5,3%"
,RO,110110,Itapuã do Oeste,174,167.0,-7,"-4,0%",576,600.0,24,"4,2%",28,40.0,12,"42,9%",175,201.0,26,"14,9%",217,222.0,5,"2,3%",1.170,1.23,60,"5,1%"
,RO,110120,Ministro Andreazza,68,74.0,6,"8,8%",137,118.0,-19,"-13,9%",1,2.0,1,"100,0%",273,277.0,4,"1,5%",349,413.0,64,"18,3%",828,884.0,56,"6,8%"
,RO,110130,Mirante da Serra,46,51.0,5,"10,9%",232,225.0,-7,"-3,0%",16,16.0,0,"0,0%",306,289.0,-17,"-5,6%",367,361.0,-6,"-1,6%",967,942.0,-25,"-2,6%"
,RO,110140,Monte Negro,136,139.0,3,"2,2%",146,137.0,-9,"-6,2%",19,10.0,-9,"-47,4%",321,328.0,7,"2,2%",177,175.0,-2,"-1,1%",799,789.0,-10,"-1,3%"
,RO,110143,Nova União,24,25.0,1,"4,2%",12,13.0,1,"8,3%",10,10.0,0,"0,0%",182,183.0,1,"0,5%",159,178.0,19,"11,9%",387,409.0,22,"5,7%"
,RO,110145,Parecis,353,366.0,13,"3,7%",59,76.0,17,"28,8%",6,3.0,-3,"-50,0%",68,63.0,-5,"-7,4%",39,41.0,2,"5,1%",525,549.0,24,"4,6%"
,RO,110146,Pimenteiras do Oeste,322,397.0,75,"23,3%",18,23.0,5,"27,8%",4,6.0,2,"50,0%",5,2.0,-3,"-60,0%",51,54.0,3,"5,9%",400,482.0,82,"20,5%"
,RO,110147,Primavera de Rondônia,111,109.0,-2,"-1,8%",0,1.0,1,#DIV/0!,40,50.0,10,"25,0%",36,32.0,-4,"-11,1%",23,19.0,-4,"-17,4%",210,211.0,1,"0,5%"
,RO,110148,São Felipe D'Oeste,125,85.0,-40,"-32,0%",3,2.0,-1,"-33,3%",9,18.0,9,"100,0%",100,85.0,-15,"-15,0%",142,150.0,8,"5,6%",379,340.0,-39,"-10,3%"
,RO,110149,São Francisco do Guaporé,381,373.0,-8,"-2,1%",39,45.0,6,"15,4%",29,30.0,1,"3,4%",683,699.0,16,"2,3%",290,312.0,22,"7,6%",1.422,1.459,37,"2,6%"
,RO,110150,Seringueiras,120,118.0,-2,"-1,7%",72,93.0,21,"29,2%",17,15.0,-2,"-11,8%",388,406.0,18,"4,6%",166,176.0,10,"6,0%",763,808.0,45,"5,9%"
,RO,110155,Teixeirópolis,37,24.0,-13,"-35,1%",45,55.0,10,"22,2%",6,5.0,-1,"-16,7%",107,112.0,5,"4,7%",59,63.0,4,"6,8%",254,259.0,5,"2,0%"
,RO,110160,Theobroma,219,245.0,26,"11,9%",18,23.0,5,"27,8%",7,3.0,-4,"-57,1%",93,86.0,-7,"-7,5%",52,50.0,-2,"-3,8%",389,407.0,18,"4,6%"
,RO,110170,Urupá,57,56.0,-1,"-1,8%",250,258.0,8,"3,2%",29,34.0,5,"17,2%",370,405.0,35,"9,5%",455,394.0,-61,"-13,4%",1.161,1.147,-14,"-1,2%"
,RO,110175,Vale do Anari,76,79.0,3,"3,9%",42,35.0,-7,"-16,7%",0,1.0,1,#DIV/0!,221,216.0,-5,"-2,3%",56,71.0,15,"26,8%",395,402.0,7,"1,8%"
,RO,110180,Vale do Paraíso,69,67.0,-2,"-2,9%",46,44.0,-2,"-4,3%",10,12.0,2,"20,0%",90,120.0,30,"33,3%",105,124.0,19,"18,1%",320,367.0,47,"14,7%"
,AC,120001,Acrelândia,140,158.0,18,"12,9%",123,151.0,28,"22,8%",13,18.0,5,"38,5%",266,320.0,54,"20,3%",115,114.0,-1,"-0,9%",657,761.0,104,"15,8%"
,AC,120005,Assis Brasil,18,18.0,0,"0,0%",3,3.0,0,"0,0%",1,1.0,0,"0,0%",117,140.0,23,"19,7%",34,36.0,2,"5,9%",173,198.0,25,"14,5%"
,AC,120010,Brasiléia,80,82.0,2,"2,5%",735,836.0,101,"13,7%",77,155.0,78,"101,3%",732,837.0,105,"14,3%",789,844.0,55,"7,0%",2.413,2.754,341,"14,1%"
,AC,120013,Bujari,297,283.0,-14,"-4,7%",1,1.0,0,"0,0%",17,39.0,22,"129,4%",91,119.0,28,"30,8%",1.043,1.13,87,"8,3%",1.449,1.572,123,"8,5%"
,AC,120017,Capixaba,133,121.0,-12,"-9,0%",23,28.0,5,"21,7%",8,8.0,0,"0,0%",124,135.0,11,"8,9%",25,35.0,10,"40,0%",313,327.0,14,"4,5%"
,AC,120020,Cruzeiro do Sul,105,95.0,-10,"-9,5%",673,684.0,11,"1,6%",475,602.0,127,"26,7%",3.863,4.178,315,"8,2%",2.697,3.295,598,"22,2%",7.813,8.854,1.041,"13,3%"
,AC,120025,Epitaciolândia,37,42.0,5,"13,5%",71,69.0,-2,"-2,8%",116,122.0,6,"5,2%",974,947.0,-27,"-2,8%",703,871.0,168,"23,9%",1.901,2.051,150,"7,9%"
,AC,120030,Feijó,58,61.0,3,"5,2%",66,58.0,-8,"-12,1%",110,68.0,-42,"-38,2%",402,462.0,60,"14,9%",766,771.0,5,"0,7%",1.402,1.42,18,"1,3%"
,AC,120032,Jordão,0,0.0,0,#DIV/0!,5,10.0,5,"100,0%",7,7.0,0,"0,0%",26,29.0,3,"11,5%",1,4.0,3,"300,0%",39,50.0,11,"28,2%"
,AC,120033,Mâncio Lima,27,25.0,-2,"-7,4%",20,13.0,-7,"-35,0%",14,18.0,4,"28,6%",216,228.0,12,"5,6%",45,94.0,49,"108,9%",322,378.0,56,"17,4%"
,AC,120034,Manoel Urbano,19,19.0,0,"0,0%",93,90.0,-3,"-3,2%",9,6.0,-3,"-33,3%",112,130.0,18,"16,1%",24,28.0,4,"16,7%",257,273.0,16,"6,2%"
,AC,120035,Marechal Thaumaturgo,0,0.0,0,#DIV/0!,4,8.0,4,"100,0%",0,7.0,7,#DIV/0!,86,90.0,4,"4,7%",5,17.0,12,"240,0%",95,122.0,27,"28,4%"
,AC,120038,Plácido de Castro,249,247.0,-2,"-0,8%",106,125.0,19,"17,9%",82,64.0,-18,"-22,0%",223,256.0,33,"14,8%",1.475,1.631,156,"10,6%",2.135,2.323,188,"8,8%"
,AC,120039,Porto Walter,2,2.0,0,"0,0%",11,14.0,3,"27,3%",4,4.0,0,"0,0%",24,28.0,4,"16,7%",10,11.0,1,"10,0%",51,59.0,8,"15,7%"
,AC,120040,Rio Branco,1.204,1.183,-21,"-1,7%",5.122,5.331,209,"4,1%",7.112,7.588,476,"6,7%",21.126,21.461,335,"1,6%",37.046,39.317,2.271,"6,1%",71.610,74.88,3.270,"4,6%"
,AC,120042,Rodrigues Alves,7,9.0,2,"28,6%",0,0.0,0,#DIV/0!,223,49.0,-174,"-78,0%",38,45.0,7,"18,4%",26,26.0,0,"0,0%",294,129.0,-165,"-56,1%"
,AC,120043,Santa Rosa do Purus,0,0.0,0,#DIV/0!,13,9.0,-4,"-30,8%",1,0.0,-1,"-100,0%",11,13.0,2,"18,2%",3,4.0,1,"33,3%",28,26.0,-2,"-7,1%"
,AC,120045,Senador Guiomard,668,673.0,5,"0,7%",663,798.0,135,"20,4%",43,38.0,-5,"-11,6%",389,383.0,-6,"-1,5%",873,1.002,129,"14,8%",2.636,2.894,258,"9,8%"
,AC,120050,Sena Madureira,397,406.0,9,"2,3%",283,277.0,-6,"-2,1%",181,225.0,44,"24,3%",734,737.0,3,"0,4%",814,1.028,214,"26,3%",2.409,2.673,264,"11,0%"
,AC,120060,Tarauacá,144,157.0,13,"9,0%",156,77.0,-79,"-50,6%",452,165.0,-287,"-63,5%",692,722.0,30,"4,3%",197,233.0,36,"18,3%",1.641,1.354,-287,"-17,5%"
,AC,120070,Xapuri,235,253.0,18,"7,7%",187,207.0,20,"10,7%",48,49.0,1,"2,1%",271,287.0,16,"5,9%",128,144.0,16,"12,5%",869,940.0,71,"8,2%"
,AC,120080,Porto Acre,233,223.0,-10,"-4,3%",133,131.0,-2,"-1,5%",18,20.0,2,"11,1%",190,209.0,19,"10,0%",150,151.0,1,"0,7%",724,734.0,10,"1,4%"
,AM,130002,Alvarães,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",1,0.0,-1,"-100,0%",39,32.0,-7,"-17,9%",25,31.0,6,"24,0%",66,64.0,-2,"-3,0%"
,AM,130006,Amaturá,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",2,2.0,0,"0,0%",3,5.0,2,"66,7%",12,9.0,-3,"-25,0%",18,17.0,-1,"-5,6%"
,AM,130008,Anamã,0,0.0,0,#DIV/0!,7,6.0,-1,"-14,3%",3,3.0,0,"0,0%",7,6.0,-1,"-14,3%",3,6.0,3,"100,0%",20,21.0,1,"5,0%"
,AM,130010,Anori,0,0.0,0,#DIV/0!,7,7.0,0,"0,0%",7,7.0,0,"0,0%",14,15.0,1,"7,1%",5,11.0,6,"120,0%",33,40.0,7,"21,2%"
,AM,130014,Apuí,8,8.0,0,"0,0%",20,23.0,3,"15,0%",10,16.0,6,"60,0%",259,274.0,15,"5,8%",118,127.0,9,"7,6%",415,448.0,33,"8,0%"
,AM,130020,Atalaia do Norte,0,0.0,0,#DIV/0!,43,42.0,-1,"-2,3%",0,0.0,0,#DIV/0!,21,25.0,4,"19,0%",10,10.0,0,"0,0%",74,77.0,3,"4,1%"
,AM,130030,Autazes,10,11.0,1,"10,0%",68,76.0,8,"11,8%",31,11.0,-20,"-64,5%",215,247.0,32,"14,9%",60,616.0,556,"926,7%",384,961.0,577,"150,3%"
,AM,130040,Barcelos,0,0.0,0,#DIV/0!,30,34.0,4,"13,3%",53,24.0,-29,"-54,7%",92,90.0,-2,"-2,2%",41,42.0,1,"2,4%",216,190.0,-26,"-12,0%"
,AM,130050,Barreirinha,0,0.0,0,#DIV/0!,4,3.0,-1,"-25,0%",0,4.0,4,#DIV/0!,108,134.0,26,"24,1%",26,21.0,-5,"-19,2%",138,162.0,24,"17,4%"
,AM,130060,Benjamin Constant,0,0.0,0,#DIV/0!,53,45.0,-8,"-15,1%",21,35.0,14,"66,7%",132,144.0,12,"9,1%",86,95.0,9,"10,5%",292,319.0,27,"9,2%"
,AM,130063,Beruri,0,0.0,0,#DIV/0!,1,2.0,1,"100,0%",1,1.0,0,"0,0%",14,19.0,5,"35,7%",11,12.0,1,"9,1%",27,34.0,7,"25,9%"
,AM,130068,Boa Vista do Ramos,0,0.0,0,#DIV/0!,10,8.0,-2,"-20,0%",6,4.0,-2,"-33,3%",75,76.0,1,"1,3%",7,12.0,5,"71,4%",98,100.0,2,"2,0%"
,AM,130070,Boca do Acre,640,635.0,-5,"-0,8%",261,409.0,148,"56,7%",7,4.0,-3,"-42,9%",362,332.0,-30,"-8,3%",145,154.0,9,"6,2%",1.415,1.534,119,"8,4%"
,AM,130080,Borba,0,1.0,1,#DIV/0!,23,30.0,7,"30,4%",13,0.0,-13,"-100,0%",124,176.0,52,"41,9%",79,77.0,-2,"-2,5%",239,284.0,45,"18,8%"
,AM,130083,Caapiranga,0,0.0,0,#DIV/0!,4,3.0,-1,"-25,0%",0,4.0,4,#DIV/0!,7,9.0,2,"28,6%",3,3.0,0,"0,0%",14,19.0,5,"35,7%"
,AM,130090,Canutama,51,64.0,13,"25,5%",2,4.0,2,"100,0%",1,1.0,0,"0,0%",15,14.0,-1,"-6,7%",16,18.0,2,"12,5%",85,101.0,16,"18,8%"
,AM,130100,Carauari,10,17.0,7,"70,0%",29,35.0,6,"20,7%",0,10.0,10,#DIV/0!,166,177.0,11,"6,6%",52,65.0,13,"25,0%",257,304.0,47,"18,3%"
,AM,130110,Careiro,8,12.0,4,"50,0%",9,8.0,-1,"-11,1%",39,37.0,-2,"-5,1%",117,114.0,-3,"-2,6%",96,109.0,13,"13,5%",269,280.0,11,"4,1%"
,AM,130115,Careiro da Várzea,0,0.0,0,#DIV/0!,3,3.0,0,"0,0%",32,0.0,-32,"-100,0%",10,8.0,-2,"-20,0%",22,24.0,2,"9,1%",67,35.0,-32,"-47,8%"
,AM,130120,Coari,3,3.0,0,"0,0%",438,422.0,-16,"-3,7%",140,85.0,-55,"-39,3%",646,693.0,47,"7,3%",588,583.0,-5,"-0,9%",1.815,1.786,-29,"-1,6%"
,AM,130130,Codajás,0,0.0,0,#DIV/0!,29,28.0,-1,"-3,4%",107,46.0,-61,"-57,0%",83,91.0,8,"9,6%",34,43.0,9,"26,5%",253,208.0,-45,"-17,8%"
,AM,130140,Eirunepé,0,0.0,0,#DIV/0!,23,28.0,5,"21,7%",32,21.0,-11,"-34,4%",180,170.0,-10,"-5,6%",47,40.0,-7,"-14,9%",282,259.0,-23,"-8,2%"
,AM,130150,Envira,0,5.0,5,#DIV/0!,16,17.0,1,"6,3%",6,6.0,0,"0,0%",51,48.0,-3,"-5,9%",10,11.0,1,"10,0%",83,87.0,4,"4,8%"
,AM,130160,Fonte Boa,0,0.0,0,#DIV/0!,13,12.0,-1,"-7,7%",0,6.0,6,#DIV/0!,44,48.0,4,"9,1%",20,19.0,-1,"-5,0%",77,85.0,8,"10,4%"
,AM,130165,Guajará,11,9.0,-2,"-18,2%",4,4.0,0,"0,0%",21,17.0,-4,"-19,0%",51,48.0,-3,"-5,9%",18,20.0,2,"11,1%",105,98.0,-7,"-6,7%"
,AM,130170,Humaitá,151,139.0,-12,"-7,9%",358,338.0,-20,"-5,6%",116,50.0,-66,"-56,9%",1.234,1.274,40,"3,2%",792,1.006,214,"27,0%",2.651,2.807,156,"5,9%"
,AM,130180,Ipixuna,0,0.0,0,#DIV/0!,11,12.0,1,"9,1%",0,0.0,0,#DIV/0!,19,19.0,0,"0,0%",9,11.0,2,"22,2%",39,42.0,3,"7,7%"
,AM,130185,Iranduba,194,173.0,-21,"-10,8%",1.949,2.319,370,"19,0%",196,317.0,121,"61,7%",511,495.0,-16,"-3,1%",1.611,1.254,-357,"-22,2%",4.461,4.558,97,"2,2%"
,AM,130190,Itacoatiara,474,602.0,128,"27,0%",487,488.0,1,"0,2%",159,82.0,-77,"-48,4%",1.640,1.747,107,"6,5%",2.480,2.551,71,"2,9%",5.240,5.47,230,"4,4%"
,AM,130195,Itamarati,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",4,4.0,0,"0,0%",8,4.0,-4,"-50,0%",17,18.0,1,"5,9%",30,27.0,-3,"-10,0%"
,AM,130200,Itapiranga,0,0.0,0,#DIV/0!,5,29.0,24,"480,0%",0,54.0,54,#DIV/0!,46,57.0,11,"23,9%",26,118.0,92,"353,8%",77,258.0,181,"235,1%"
,AM,130210,Japurá,0,0.0,0,#DIV/0!,2,4.0,2,"100,0%",14,13.0,-1,"-7,1%",23,15.0,-8,"-34,8%",20,19.0,-1,"-5,0%",59,51.0,-8,"-13,6%"
,AM,130220,Juruá,1,1.0,0,"0,0%",15,16.0,1,"6,7%",0,0.0,0,#DIV/0!,32,34.0,2,"6,3%",11,12.0,1,"9,1%",59,63.0,4,"6,8%"
,AM,130230,Jutaí,0,0.0,0,#DIV/0!,5,5.0,0,"0,0%",0,0.0,0,#DIV/0!,54,59.0,5,"9,3%",31,31.0,0,"0,0%",90,95.0,5,"5,6%"
,AM,130240,Lábrea,286,323.0,37,"12,9%",18,16.0,-2,"-11,1%",6,5.0,-1,"-16,7%",329,356.0,27,"8,2%",202,226.0,24,"11,9%",841,926.0,85,"10,1%"
,AM,130250,Manacapuru,189,195.0,6,"3,2%",780,736.0,-44,"-5,6%",94,66.0,-28,"-29,8%",1.753,1.852,99,"5,6%",1.324,1.516,192,"14,5%",4.140,4.365,225,"5,4%"
,AM,130255,Manaquiri,1,0.0,-1,"-100,0%",1,1.0,0,"0,0%",7,4.0,-3,"-42,9%",64,76.0,12,"18,8%",35,36.0,1,"2,9%",108,117.0,9,"8,3%"
,AM,130260,Manaus,1.310,1.366,56,"4,3%",117.852,129.752,11.900,"10,1%",25.593,28.179,2.586,"10,1%",104.274,109.904,5.630,"5,4%",210.375,228.363,17.988,"8,6%",459.404,497.564,38.160,"8,3%"
,AM,130270,Manicoré,55,53.0,-2,"-3,6%",108,120.0,12,"11,1%",221,126.0,-95,"-43,0%",435,447.0,12,"2,8%",272,291.0,19,"7,0%",1.091,1.037,-54,"-4,9%"
,AM,130280,Maraã,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",0,8.0,8,#DIV/0!,38,41.0,3,"7,9%",8,7.0,-1,"-12,5%",47,57.0,10,"21,3%"
,AM,130290,Maués,37,45.0,8,"21,6%",69,56.0,-13,"-18,8%",57,31.0,-26,"-45,6%",509,555.0,46,"9,0%",196,241.0,45,"23,0%",868,928.0,60,"6,9%"
,AM,130300,Nhamundá,0,0.0,0,#DIV/0!,18,37.0,19,"105,6%",5,9.0,4,"80,0%",74,74.0,0,"0,0%",22,29.0,7,"31,8%",119,149.0,30,"25,2%"
,AM,130310,Nova Olinda do Norte,0,0.0,0,#DIV/0!,46,51.0,5,"10,9%",2,8.0,6,"300,0%",207,215.0,8,"3,9%",124,127.0,3,"2,4%",379,401.0,22,"5,8%"
,AM,130320,Novo Airão,2,2.0,0,"0,0%",28,33.0,5,"17,9%",18,50.0,32,"177,8%",89,93.0,4,"4,5%",268,273.0,5,"1,9%",405,451.0,46,"11,4%"
,AM,130330,Novo Aripuanã,3,12.0,9,"300,0%",6,71.0,65,"1083,3%",2,2.0,0,"0,0%",47,41.0,-6,"-12,8%",173,177.0,4,"2,3%",231,303.0,72,"31,2%"
,AM,130340,Parintins,7,8.0,1,"14,3%",289,266.0,-23,"-8,0%",55,58.0,3,"5,5%",2.136,2.252,116,"5,4%",1.096,1.137,41,"3,7%",3.583,3.721,138,"3,9%"
,AM,130350,Pauini,0,3.0,3,#DIV/0!,1,1.0,0,"0,0%",8,3.0,-5,"-62,5%",16,15.0,-1,"-6,3%",11,9.0,-2,"-18,2%",36,31.0,-5,"-13,9%"
,AM,130353,Presidente Figueiredo,1.188,1.08,-108,"-9,1%",1.764,1.712,-52,"-2,9%",29,82.0,53,"182,8%",401,494.0,93,"23,2%",493,578.0,85,"17,2%",3.875,3.946,71,"1,8%"
